sort_order,id,word1,pronunciation,pos,difficulty,definition,has_icon
1,12409,agua,,n,1,water,yes
2,12671,ahora,,adv,1,now (at the present time),
3,12672,ahora,,conj,1,"now...now, whether...or",
4,14816,amigo,,n,1,friend,yes
5,15971,antes,,adv,1,before,
6,17683,aquí,,adv,1,here,
7,21128,año,,n,1,year,
8,22579,beber,,v,1,to drink,yes
9,23207,bien,,adv,1,well,
10,23209,bien,,n,1,good,
11,25307,bueno,,adj,1,good,yes
12,25308,bueno,,interj,1,okay,yes
13,28814,casa,,n,1,house,yes
14,31192,chico,,adj,1,small,
15,31193,chico,,n,1,"guy, lad",
16,33125,claro,,adj,1,clear (easily understood),
17,33126,claro,,adv,1,"certainly, naturally, of course",
18,34628,comer,,n,1,"eating, food",yes
19,34629,comer,,v,1,to eat,yes
20,37693,cosa,,n,1,"thing (object, concept)",
21,40147,cómo,,adv,1,how?,
22,40149,cómo,,n,1,how,
23,41352,decir,,n,1,saying,
24,41353,decir,,v,1,"to say, to tell",
25,44102,después,,adv,1,"later, afterwards, afterward, post",
26,45148,dinero,,n,1,money,yes
27,46730,día,,n,1,day (any period of 24 hours),yes
28,46780,dónde,,adv,1,where?,
29,46781,dónde,,n,1,where,
30,51289,escuela,,n,1,school (an institution dedicated to teaching and learning),yes
31,55255,favor,,n,1,favor/favour,
32,55386,feliz,,adj,1,"happy, merry (trait)",yes
33,58985,gato,,n,1,cat (unspecified gender),yes
34,59262,gente,,n,1,people,
35,60310,gracias,,interj,1,"thank you, thanks",yes
36,60311,gracias,,n,1,thanks,yes
37,60464,grande,,adj,1,"big, large",yes
38,61673,hablar,,v,1,to talk,yes
39,63332,hijo,,n,1,son,
40,64067,hola,,interj,1,"hello, hi, hey",
41,64136,hombre,,n,1,"man, (adult male human)",yes
42,64353,hora,,n,1,"time (the moment, as indicated by a clock or similar device)",
43,71380,leche,,n,1,milk,yes
44,72088,libro,,n,1,book,yes
45,72742,llamar,,v,1,"to summon, to call",
46,73474,luna,,n,1,moon,yes
47,75060,mano,,n,1,hand,yes
48,76292,mañana,,adv,1,tomorrow,
49,76293,mañana,,n,1,tomorrow,
50,76767,mejor,,adj,1,better,
51,76768,mejor,,adv,1,better,
52,77044,menos,,adv,1,less,
53,77046,menos,,determiner,1,"less, fewer",
54,77047,menos,,n,1,minus sign,
55,77048,menos,,prep,1,minus,
56,77325,mesa,,n,1,table,yes
57,78810,mirar,,v,1,"to look at (to try to see, to pay attention to with one’s eyes)",
58,80453,mucho,,adv,1,"much, a lot, far, way, many times",
59,80454,mucho,,determiner,1,"much, a lot of",
60,80455,mucho,,pron,1,"a lot, much",
61,80572,mujer,,n,1,woman,yes
62,80895,mundo,,n,1,"world, globe (the Earth)",
63,81174,más,,adv,1,more,
64,81175,más,,conj,1,plus,
65,81176,más,,determiner,1,"more, any more",
66,81963,necesitar,,v,1,to need,
67,82977,niño,,n,1,"child, boy",
68,83159,noche,,adv,1,"after dark, (late) at night, nocturnally",yes
69,83160,noche,,n,1,night (the period between sunset and sunrise),yes
70,83745,nuevo,,adj,1,new,
71,83798,nunca,,adv,1,never,
72,84516,oh,,interj,1,"oh (expression of awe, surprise, pain or realization)",
73,86154,padre,,n,1,father,
74,86718,pan,,n,1,bread (food made by baking cereal dough),yes
75,87135,papá,,n,1,dad,
76,89330,pequeño,,adj,1,small,yes
77,89875,perro,,adj,1,awful,yes
