xin chào	hello; greetings
chào	hello; hi
cảm ơn	thank you; thanks
tạm biệt	goodbye; farewell; see you later
tạm	temporary; provisional
biệt	to part; to separate
người	person; people; human
nước	water; country; nation; juice
đẹp	beautiful; pretty; handsome
học	to study; to learn
yêu	to love; to adore
ăn	to eat
uống	to drink
ngon	delicious; tasty
tốt	good; well; fine
xấu	bad; ugly
lớn	big; large; great
nhỏ	small; little; tiny
mới	new; recent; just
cũ	old; used; former
đi	to go; to walk; to leave
đến	to come; to arrive; to reach
về	to return; about; concerning
làm	to do; to make; to work
nói	to say; to speak; to tell
nghe	to hear; to listen
nhìn	to look; to see; to watch
viết	to write
đọc	to read
hiểu	to understand; to comprehend
biết	to know; to be aware
thích	to like; to enjoy; to prefer
muốn	to want; to wish; to desire
cần	to need; necessary
có	to have; there is; yes
không	no; not; without
và	and
hoặc	or
nhưng	but; however
vì	because; for
nếu	if
thì	then
này	this
đó	that
ai	who; whom
gì	what
đâu	where
khi nào	when
tại sao	why
như thế nào	how
bao nhiêu	how much; how many
một	one
hai	two
ba	three
bốn	four
năm	five
sáu	six
bảy	seven
tám	eight
chín	nine
mười	ten
trăm	hundred
nghìn	thousand
triệu	million
gia đình	family
bố	father; dad
mẹ	mother; mom
con	child; offspring
anh	older brother; you (to male)
chị	older sister; you (to female)
em	younger sibling; you (to younger person)
bạn	friend
nhà	house; home
trường	school
lớp	class; classroom
giáo viên	teacher
học sinh	student
sách	book
bút	pen
giấy	paper
bàn	table; desk
ghế	chair
cửa	door
cửa sổ	window
đường	road; street; way
xe	vehicle; car
xe đạp	bicycle
máy bay	airplane
tàu	train; ship
thành phố	city
làng	village
quê	countryside; hometown
sông	river
núi	mountain
biển	sea; ocean
trời	sky; heaven; weather
mặt trời	sun
mặt trăng	moon
sao	star
mây	cloud
mưa	rain
gió	wind
nóng	hot
lạnh	cold
ấm	warm
mát	cool
sáng	bright; morning
tối	dark; evening
ngày	day
đêm	night
tuần	week
tháng	month
năm	year
hôm nay	today
ngày mai	tomorrow
hôm qua	yesterday
bây giờ	now
sớm	early
muộn	late
nhanh	fast; quick
chậm	slow
dễ	easy
khó	difficult; hard
cao	tall; high
thấp	short; low
dài	long
ngắn	short (length)
rộng	wide; broad
hẹp	narrow
xa	far
gần	near; close
trên	on; above; over
dưới	under; below; beneath
trong	in; inside; within
ngoài	out; outside; beyond
trước	before; in front of
sau	after; behind; later
giữa	between; middle; among
bên	side; beside
nhiều	many; much; a lot
ít	few; little
tất cả	all; every; whole
một số	some; several
màu	color
đỏ	red
xanh	blue; green
vàng	yellow
đen	black
trắng	white
xám	gray
nâu	brown
hồng	pink
tím	purple
cam	orange
ăn sáng	breakfast
ăn trưa	lunch
ăn tối	dinner
cơm	rice; meal
phở	pho; Vietnamese noodle soup
bánh mì	bread; Vietnamese sandwich
trà	tea
cà phê	coffee
sữa	milk
khỏe	healthy; well; strong
đau	pain; to hurt; sick
bệnh	illness; disease
bệnh viện	hospital
bác sĩ	doctor
thuốc	medicine; drug
vui	happy; joyful
buồn	sad; unhappy
giận	angry; mad
lo	worried; anxious
yên tĩnh	quiet; peaceful
ồn ào	noisy; loud
sạch	clean
bẩn	dirty
tiền	money
đắt	expensive; costly
rẻ	cheap; inexpensive
mua	to buy; to purchase
bán	to sell
cho	to give; for; to let
nhận	to receive; to get
mở	to open
đóng	to close; to shut
bắt đầu	to begin; to start
kết thúc	to end; to finish
chơi	to play
nghỉ	to rest; to take a break
ngủ	to sleep
thức	to wake; to stay awake
Việt Nam	Vietnam
Hà Nội	Hanoi
Sài Gòn	Saigon
Thành phố Hồ Chí Minh	Ho Chi Minh City
