front,back,hint,publishedAt
"来源","Source; origin","","2025-05-11T04:41:01.910Z"
"斗争","Struggle","","2025-05-11T04:41:57.206Z"
"转折","a twist (in the plot)","","2025-01-08T08:50:35.969Z"
"歹毒","ruthless","","2025-04-23T17:09:32.849Z"
"与众不同","to stand out","","2024-12-07T07:35:52.339Z"
"事实","Fact","","2024-10-13T07:25:27.136Z"
"鹅","Goose","","2025-06-03T22:52:56.666Z"
"排除","rule out; to exclude","","2025-04-14T05:13:56.363Z"
"威胁","to threaten","","2025-01-15T06:47:06.444Z"
"图案","designs (art)","","2025-03-12T03:44:20.442Z"
"着凉","catch cold","","2025-04-27T05:27:36.690Z"
"治愈","to heal","","2025-06-21T06:59:04.265Z"
"安慰","comfort","","2025-04-13T02:19:37.828Z"
"作品","piece (art/project)","","2024-12-07T07:49:16.651Z"
"台灯","table lamp","","2025-03-08T03:49:53.910Z"
"农村","Rural area","","2025-03-09T17:18:14.602Z"
"要好","to be close friends","","2025-01-08T01:53:39.380Z"
"涉及","involving","","2025-01-15T07:01:50.380Z"
"比喻","metaphor; analogy","","2025-01-14T04:20:56.600Z"
"从未","never in the past","","2025-01-15T05:45:55.849Z"
"辞职","resignation","","2025-03-21T05:35:48.748Z"
"粮食","grain","","2025-06-06T06:27:47.119Z"
"产业","industry","","2025-06-06T06:26:51.729Z"
"路线","logistics","","2025-01-18T07:15:43.553Z"
"支持","to support","","2024-03-30T22:30:34.942Z"
"冗","extraneous; redundant","","2024-09-10T05:47:36.942Z"
"进展","Progress","","2025-01-14T07:38:56.100Z"
"集体","collective","","2025-06-06T06:24:21.648Z"
"逞强","to try to be brave","","2024-09-14T05:53:02.253Z"
"电插座","electric socket","","2025-01-08T08:49:30.740Z"
"自信","self-confidence","","2024-12-14T05:33:02.289Z"
"总的来说","Overall","","2025-03-09T08:43:45.817Z"
"实在","is really","","2024-03-24T21:11:22.020Z"
"激动","excited","","2025-04-23T23:23:05.422Z"
"预想","to expect","","2025-01-12T06:18:22.430Z"
"喜爱","favorite","","2025-01-15T06:32:04.071Z"
"困惑","Confusion","","2025-01-02T03:41:46.814Z"
"操控","to control; to maneuver","","2025-01-17T06:07:16.307Z"
"卑鄙","despicable","","2025-04-22T05:58:33.680Z"
"手肘","elbow","","2025-04-22T02:02:56.504Z"
"受罪","to suffer","","2025-04-23T06:23:25.927Z"
"没治","helpless","","2025-06-14T18:42:57.826Z"
"召唤","to summon","","2025-01-13T23:59:38.319Z"
"批注","to annotate","","2025-01-08T08:32:24.787Z"
"答应","to promise","","2025-01-08T08:25:30.952Z"
"枯竭","depleted","","2025-04-23T06:30:11.144Z"
"消化","Digestion","","2025-06-04T01:25:56.602Z"
"极端","extreme","","2025-06-06T06:19:53.074Z"
"胡言乱语","yapping","","2025-04-09T04:09:04.460Z"
"外表","Appearance","","2024-04-30T01:23:07.804Z"
"勉强","Reluctantly","","2024-05-09T02:52:05.144Z"
"优化","optimisation","","2025-06-06T06:14:52.680Z"
"心理","Psychological","","2025-01-08T09:27:49.146Z"
"任由","to allow","","2025-06-21T06:42:56.129Z"
"犹如","similar to","","2025-06-14T17:58:24.225Z"
"相比之下","in contrast","","2025-01-17T06:04:21.539Z"
"究竟","in the end","","2025-02-23T06:34:11.323Z"
"原谅","Forgive","","2025-04-05T23:37:20.063Z"
"人后受罪","suffer behind the scenes","","2025-04-23T06:24:05.681Z"
"争辩","a dispute","","2025-06-14T17:56:20.023Z"
"入神","be enthralled","","2025-04-02T00:29:40.033Z"
"限定","to restrict","","2024-09-28T02:51:09.119Z"
"心脏","Heart","","2025-06-14T18:40:32.298Z"
"复杂","complex","","2025-06-04T00:19:35.871Z"
"衰老","to age","","2025-06-22T16:57:53.176Z"
"改进","Improvements","","2025-01-08T08:57:45.253Z"
"扮演","to act","","2025-06-14T17:54:17.247Z"
"真相","The Truth","","2025-02-10T06:41:24.462Z"
"纠缠","be in a tangle","","2025-06-14T17:50:20.059Z"
"不如","why not","","2024-12-27T04:37:31.011Z"
"残忍","ruthless","","2025-06-14T17:49:54.544Z"
"于是","So; therefore","","2024-03-01T02:19:21.155Z"
"上升","to rise","","2025-01-08T09:27:05.625Z"
"创造","to create","","2025-06-06T06:23:18.935Z"
"赔偿","to compensate","","2025-01-08T08:17:57.424Z"
"立刻","Immediately","","2025-01-08T08:16:02.582Z"
"下一刻","the next moment","","2025-01-08T08:15:37.249Z"
"挣扎","to struggle","","2025-01-08T08:13:39.599Z"
"狰狞","malevolent","","2025-01-08T08:11:07.823Z"
"疯狂","crazy; insane","","2024-12-17T18:56:56.068Z"
"新鲜","Fresh","","2024-11-27T03:40:50.300Z"
"猛","ferocious","","2024-12-14T04:33:34.832Z"
"心碎","heartbreak","","2024-12-19T21:54:09.193Z"
"作文","Essay","","2024-12-18T05:58:50.184Z"
"顶多","at best; at most","","2023-11-03T18:50:19.029Z"
"极佳","excellent; great","","2024-09-27T02:00:42.031Z"
"见外","too polite","","2025-01-05T07:40:59.169Z"
"虐","tyrannical; oppressive","","2025-01-06T03:32:41.482Z"
"磕","to knock; to bang","","2025-01-06T03:28:35.743Z"
"身边","at your side; around one's self","","2024-05-28T15:57:18.020Z"
"安心","at ease","","2025-01-07T21:24:56.256Z"
"解读","interpretation","","2025-01-07T08:08:57.816Z"
"首要","most important","","2025-01-07T06:51:02.851Z"
"角袋","corner pocket (in pool)","","2024-12-11T21:25:19.672Z"
"人造","synthetic; man-made","","2024-07-15T19:51:24.469Z"
"却","but","","2024-12-09T05:43:03.611Z"
"预设","default value; to predict; to presume","","2024-10-07T00:15:02.956Z"
"生疏","not accustomed; not familiar","","2024-05-02T23:17:09.014Z"
"限制","to limit","","2024-10-22T05:14:55.269Z"
"玩偶","figurine","","2024-11-19T04:40:04.627Z"
"认错","to admit a mistake","","2024-12-09T05:41:17.532Z"
"使用","to use; to employ; to make use of","","2024-09-04T13:01:45.243Z"
"期末","end of school term","","2024-11-19T05:06:36.056Z"
"观众","Audience; spectator","","2024-12-08T05:57:43.461Z"
"对比","to compare","","2024-11-19T23:38:22.299Z"
"好处","Benefit; advantage","","2024-12-14T17:56:15.063Z"
"保重","to take care of yourself","","2024-11-27T03:43:43.034Z"
"末","End","","2024-12-16T04:14:41.105Z"
"各种","Various","","2024-12-17T04:56:54.266Z"
"完好","in good condition; intact","","2024-11-25T06:21:26.721Z"
"区分","to differentiate","","2024-11-19T23:38:53.628Z"
"必要性","necessity","","2024-11-20T04:03:32.464Z"
"横向","horizontal; lateral; perpendicular","","2024-11-19T23:38:03.466Z"
"操场","field","","2024-12-15T01:51:45.014Z"
"圆形","circle","","2024-12-15T01:50:32.962Z"
"推论","to infer","","2024-12-07T07:41:40.298Z"
"性别","Gender","","2024-12-15T01:51:13.763Z"
"占领","occupy (a territory)","","2024-10-03T02:23:42.890Z"
"前段时间","just now","","2024-11-19T04:59:33.643Z"
"破损","to become damaged","","2024-11-25T06:20:19.342Z"
"现场","scene; site","","2024-11-21T20:53:11.906Z"
"代替","Substitute; replace","","2023-11-23T11:28:45.201Z"
"合适","Suitable","","2025-01-07T00:06:23.448Z"
"相爱相杀","love hate relationship","","2025-01-06T23:42:10.080Z"
"阳台","balcony","","2025-01-06T20:22:11.852Z"
"泛指","generally speaking","","2024-12-31T06:35:31.073Z"
"表情包","emoji","","2024-12-17T01:24:12.209Z"
"之间","between","","2024-01-29T15:57:20.355Z"
"尽情","to your heart's content","","2024-12-18T19:08:42.974Z"
"留意","to be mindful of","","2025-01-04T07:07:20.860Z"
"膝盖","knee","","2025-01-06T03:28:54.786Z"
"相处","to get along; to interact","","2025-01-04T07:37:49.136Z"
