sort_order,id,word1,pronunciation,difficulty,definition,has_icon
23,5624,人,rén,1,person,yes
15,3216,中,zhōng,1,in,

6,1548,上,shàng,1,upper,yes
9,1858,下,xià,1,down,yes

7,1589,上午,shàng wǔ,1,morning,yes
16,3260,中午,zhōng wǔ,1,noon,
10,1889,下午,xià wǔ,1,afternoon,yes

131,52912,昨天,zuó tiān,1,yesterday,yes
27,6084,今天,jīn tiān,1,today,yes
122,52519,明天,míng tiān,1,tomorrow,yes

55,19026,可以,kě yǐ,1,can,


113,43537,我,wǒ,1,I,yes
70,22473,喜欢,xǐ huan,1,to like,yes
129,52832,春天,chūn tiān,1,spring (season),yes

78,26814,夏天,xià tiān,1,summer,yes
168,80439,秋天,qiū tiān,1,autumn,yes
44,12502,冬天,dōng tiān,1,winter,yes


88,29851,好,hǎo,1,good,yes
163,77461,看,kàn,1,to look at,yes
好看

33,7494,你,nǐ,1,"you (informal, as opposed to courteous 您[nin2])",yes
109,39653,很,hěn,1,very,yes
120,52290,早,zǎo,1,early,yes



82,27468,大,dà,1,big,yes
100,34123,小,xiǎo,1,small,yes
264,27745,大小,dà xiǎo,2,size,yes

80,27112,多,duō,1,many,yes
少
81,27181,多少,duō shǎo,1,how much?,yes

91,30787,妈妈,mā ma,1,mother,yes
132,52936,是,shì,1,to be (followed by substantives only),yes
医生

153,70723,爸爸,bà ba,1,dad,yes
52,17948,去,qù,1,to go,yes
买菜

1,347,一,yī,1,one,yes
21,4662,二,èr,1,two,yes
5,1155,三,sān,1,three,yes
72,23556,四,sì,1,four,yes
22,4936,五,wǔ,1,five,yes
42,11954,六,liù,1,six,yes
4,1061,七,qī,1,seven,yes
39,11527,八,bā,1,eight,yes
19,4231,九,jiǔ,1,nine,yes
50,16416,十,shí,1,ten,yes

48,14293,前,qián,1,front,yes
60,20209,后,hoù,1,behind,yes

29,6153,他,tā,1,"(third-person singular) (since the early 20th century, usu. male) he",yes
87,29844,她,tā,1,she,yes
它


左
